측정일시,발전률,기온(°C),강수량(mm),풍속(m__s),습도(%),증기압(hPa),현지기압(hPa),일조(hr),지면온도(°C),SO2,CO,O3,NO2,PM10,PM25
2017010101,0.0,3.5,0.0,1.4,87.0,6.8,1018.9,0.0,1.2,0.005,0.3,0.017,0.015,31.0,23.0
2017010102,0.0,2.8,0.0,0.2,87.0,6.5,1018.7,0.0,-1.4,0.005,0.4,0.011,0.02,34.0,25.0
2017010103,0.0,2.9,0.0,0.8,88.0,6.6,1019.2,0.0,-0.8,0.004,0.4,0.013,0.017,37.0,26.0
2017010104,0.0,2.8,0.0,0.3,86.0,6.4,1019.1,0.0,-2.2,0.006,0.4,0.013,0.015,37.0,26.0
2017010105,0.0,1.5,0.0,0.2,92.0,6.2,1018.3,0.0,-2.2,0.005,0.4,0.014,0.014,35.0,25.0
2017010106,0.0,0.9,0.0,1.4,92.0,6.0,1018.1,0.0,-2.4,0.005,0.4,0.011,0.015,32.0,25.0
2017010107,0.0,2.2,0.0,0.4,88.0,6.3,1018.7,0.0,-2.5,0.006,0.4,0.008,0.021,31.0,26.0
2017010108,0.0,1.9,0.0,0.0,87.0,6.1,1018.9,0.0,-3.3,0.005,0.5,0.002,0.026,30.0,24.0
2017010109,0.034,2.1,0.0,0.0,91.0,6.4,1019.3,0.0,-2.2,0.006,0.9,0.004,0.027,40.0,26.0
2017010110,0.1507,3.1,0.0,0.1,87.0,6.6,1020.1,0.7,6.2,0.007,1.1,0.005,0.029,48.0,35.0
2017010111,0.376,5.2,0.0,0.0,81.0,7.1,1020.4,1.0,13.0,0.017,1.0,0.01,0.026,50.0,39.0
2017010112,0.5458999999999999,6.7,0.0,0.9,76.0,7.4,1019.8,1.0,15.8,0.021,1.3,0.015,0.026,66.0,53.0
2017010113,0.638,8.1,0.0,1.1,67.0,7.2,1018.9,1.0,16.6,0.021,1.2,0.018,0.026,77.0,53.0
2017010114,0.6663,9.8,0.0,1.1,63.0,7.6,1017.7,1.0,19.9,0.017,0.8,0.026,0.021,86.0,56.0
2017010115,0.5742,10.6,0.0,1.8,59.0,7.5,1016.8,1.0,19.4,0.008,0.3,0.041,0.01,71.0,50.0
2017010116,0.3791,10.9,0.0,1.7,61.0,7.9,1016.1,1.0,17.2,0.008,0.3,0.041,0.01,50.0,36.0
2017010117,0.1611,10.6,0.0,1.4,62.0,7.9,1016.1,1.0,14.5,0.008,0.3,0.039,0.011,48.0,29.0
2017010118,0.0039,9.8,0.0,0.2,63.0,7.6,1015.7,1.0,7.6,0.007,0.4,0.023,0.023,45.0,28.0
2017010119,0.0,8.0,0.0,0.6,70.0,7.5,1015.5,0.1,3.4,0.009,0.5,0.013,0.034,50.0,32.0
2017010120,0.0,7.0,0.0,0.2,76.0,7.6,1015.3,0.0,2.2,0.01,0.7,0.004,0.041,53.0,32.0
2017010121,0.0,6.2,0.0,0.2,80.0,7.5,1015.3,0.0,2.1,0.011,0.9,0.003,0.041,58.0,43.0
2017010122,0.0,5.3,0.0,1.1,83.0,7.4,1015.2,0.0,1.0,0.01,1.1,0.003,0.039,63.0,46.0
2017010123,0.0,6.3,0.0,0.9,79.0,7.5,1014.8,0.0,2.4,0.01,1.1,0.004,0.037,66.0,47.0
2017010124,0.0,6.6,0.0,1.1,81.0,7.8,1014.6,0.0,3.0,0.008,1.0,0.003,0.036,61.0,45.0
2017010201,0.0,4.7,0.0,0.1,88.0,7.5,1013.9,0.0,-0.2,0.007,0.7,0.004,0.031,56.0,42.0
2017010202,0.0,5.4,0.0,0.7,86.0,7.7,1013.9,0.0,3.1,0.007,0.4,0.025,0.013,47.0,39.0
2017010203,0.0,5.9,0.0,0.7,79.0,7.3,1013.3,0.0,4.0,0.006,0.4,0.014,0.018,44.0,32.0
2017010204,0.0,6.0,0.0,0.5,79.0,7.4,1012.9,0.0,4.2,0.006,0.4,0.013,0.018,48.0,33.0
2017010205,0.0,5.3,0.0,0.2,84.0,7.5,1012.9,0.0,3.4,0.006,0.4,0.015,0.016,48.0,36.0
2017010206,0.0,5.2,0.0,0.4,87.0,7.7,1012.4,0.0,3.8,0.006,0.4,0.008,0.021,48.0,36.0
2017010207,0.0,6.0,0.0,0.6,83.0,7.7,1012.2,0.0,3.8,0.006,0.5,0.005,0.025,45.0,36.0
2017010208,0.0,5.3,0.0,0.5,87.0,7.7,1012.5,0.0,1.6,0.006,0.6,0.002,0.032,51.0,37.0
2017010209,0.0266,5.9,0.0,1.2,82.0,7.6,1012.7,0.0,2.3,0.007,0.6,0.007,0.034,50.0,37.0
2017010210,0.1038,6.9,0.0,0.7,79.0,7.8,1012.8,0.0,7.0,0.007,0.7,0.005,0.025,62.0,43.0
2017010211,0.3646,8.1,0.0,0.9,74.0,8.0,1013.1,0.3,14.3,0.007,0.4,0.012,0.03,68.0,40.0
2017010212,0.5305,10.7,0.0,0.7,65.0,8.3,1012.9,1.0,21.0,0.007,0.4,0.031,0.016,56.0,31.0
2017010213,0.6281,12.5,0.0,2.3,58.0,8.4,1011.9,1.0,20.2,0.006,0.3,0.042,0.006,44.0,28.0
2017010214,0.523,13.9,0.0,3.4,55.0,8.7,1010.7,1.0,21.8,0.006,0.3,0.042,0.006,37.0,19.0
2017010215,0.585,13.6,0.0,4.9,56.0,8.7,1010.1,0.9,16.8,0.007,0.3,0.042,0.005,34.0,21.0
2017010216,0.4063,13.8,0.0,3.6,55.0,8.7,1010.1,0.7,16.9,0.007,0.3,0.041,0.005,34.0,19.0
2017010217,0.0579999999999999,13.1,0.0,2.8,57.0,8.5,1010.7,0.7,13.7,0.006,0.3,0.039,0.008,35.0,22.0
2017010218,0.0005,12.3,0.0,2.5,61.0,8.7,1011.2,0.2,11.9,0.006,0.3,0.035,0.01,36.0,22.0
2017010219,0.0,10.8,0.0,1.9,67.0,8.7,1011.5,0.0,8.4,0.005,0.4,0.025,0.019,37.0,22.0
2017010220,0.0,9.3,0.0,1.8,74.0,8.6,1011.5,0.0,5.8,0.006,0.5,0.011,0.032,42.0,26.0
2017010221,0.0,9.3,0.0,0.8,75.0,8.7,1011.7,0.0,4.0,0.005,0.5,0.008,0.035,47.0,28.0
2017010222,0.0,8.6,0.0,1.9,77.0,8.5,1011.7,0.0,5.2,0.006,0.3,0.026,0.016,52.0,29.0
2017010223,0.0,7.7,0.0,2.1,82.0,8.6,1011.7,0.0,4.0,0.006,0.3,0.021,0.02,39.0,25.0
2017010224,0.0,6.1,0.0,1.5,88.0,8.2,1011.8,0.0,1.5,0.005,0.3,0.028,0.013,43.0,27.0
2017010301,0.0,6.3,0.0,1.5,87.0,8.2,1011.7,0.0,2.4,0.006,0.3,0.037,0.008,45.0,27.0
2017010302,0.0,6.3,0.0,0.0,79.0,7.5,1011.2,0.0,1.1,0.005,0.4,0.04,0.009,43.0,30.0
2017010303,0.0,6.0,0.0,0.9,77.0,7.2,1011.4,0.0,2.5,0.006,0.5,0.048,0.005,65.0,42.0
2017010304,0.0,6.0,0.0,1.5,74.0,6.9,1012.2,0.0,2.4,0.007,0.5,0.046,0.005,98.0,75.0
2017010305,0.0,5.9,0.0,1.2,66.0,6.1,1012.3,0.0,2.6,0.006,0.5,0.045,0.005,109.0,77.0
2017010306,0.0,5.3,0.0,2.6,59.0,5.3,1012.1,0.0,2.6,0.006,0.4,0.041,0.006,91.0,66.0
2017010307,0.0,5.2,0.0,2.7,54.0,4.8,1012.2,0.0,2.6,0.006,0.5,0.024,0.019,74.0,54.0
2017010308,0.0,3.0,0.0,1.4,65.0,4.9,1012.9,0.0,-1.9,0.005,0.7,0.01,0.034,74.0,58.0
2017010309,0.0354,3.3,0.0,0.3,64.0,5.0,1013.2,0.0,-0.7,0.006,0.7,0.006,0.037,77.0,51.0
2017010310,0.1709,4.8,0.0,0.4,56.0,4.8,1013.7,0.8,6.6,0.006,0.8,0.007,0.038,82.0,54.0
2017010311,0.3739,6.8,0.0,0.4,54.0,5.4,1014.6,1.0,15.0,0.012,1.1,0.011,0.036,91.0,57.0
2017010312,0.5421,7.3,0.0,0.5,56.0,5.7,1014.5,1.0,16.3,0.023,2.0,0.016,0.033,95.0,65.0
2017010313,0.6431,8.8,0.0,1.1,50.0,5.7,1013.6,1.0,16.8,0.021,1.8,0.02,0.027,117.0,79.0
2017010314,0.6597999999999999,9.9,0.0,1.0,48.0,5.8,1012.8,1.0,20.5,0.011,0.8,0.034,0.017,106.0,76.0
2017010315,0.5681,10.6,0.0,1.5,42.0,5.4,1011.9,1.0,19.6,0.011,0.7,0.037,0.017,74.0,50.0
2017010316,0.4049,11.6,0.0,1.0,38.0,5.2,1011.8,1.0,18.5,0.007,0.4,0.034,0.017,56.0,41.0
2017010317,0.1757,12.1,0.0,3.6,32.0,4.5,1011.5,1.0,15.6,0.006,0.4,0.037,0.012,48.0,30.0
2017010318,0.0049,10.4,0.0,1.8,38.0,4.8,1011.7,1.0,8.4,0.006,0.4,0.033,0.016,50.0,31.0
2017010319,0.0,8.5,0.0,1.1,43.0,4.8,1011.9,0.2,5.4,0.005,0.4,0.028,0.02,55.0,39.0
2017010320,0.0,7.6,0.0,0.8,46.0,4.8,1012.1,0.0,3.8,0.005,0.4,0.022,0.016,51.0,34.0
2017010321,0.0,7.0,0.0,0.9,49.0,4.9,1012.1,0.0,3.4,0.005,0.5,0.013,0.03,52.0,39.0
2017010322,0.0,6.6,0.0,2.0,49.0,4.8,1012.2,0.0,4.1,0.006,0.7,0.004,0.042,51.0,43.0
2017010323,0.0,6.4,0.0,0.0,50.0,4.8,1012.4,0.0,0.3,0.006,0.7,0.003,0.04,58.0,42.0
2017010324,0.0,5.3,0.0,0.7,54.0,4.8,1012.3,0.0,0.4,0.005,0.4,0.015,0.015,56.0,40.0
2017010401,0.0,5.2,0.0,2.0,55.0,4.9,1012.2,0.0,2.9,0.007,0.3,0.033,0.002,45.0,34.0
2017010402,0.0,5.3,0.0,0.8,54.0,4.8,1012.1,0.0,-0.3,0.006,0.3,0.032,0.009,42.0,31.0
2017010403,0.0,5.3,0.0,2.1,55.0,4.9,1012.3,0.0,1.5,0.005,0.3,0.032,0.007,45.0,31.0
2017010404,0.0,3.9,0.0,1.7,61.0,4.9,1012.1,0.0,0.5,0.005,0.3,0.031,0.008,43.0,33.0
2017010405,0.0,3.5,0.0,1.7,62.0,4.9,1011.9,0.0,0.4,0.006,0.3,0.025,0.012,38.0,35.0
2017010406,0.0,4.4,0.0,1.0,53.0,4.4,1011.6,0.0,0.6,0.006,0.4,0.017,0.018,42.0,32.0
2017010407,0.0,3.8,0.0,0.3,56.0,4.5,1011.7,0.0,-1.1,0.005,0.4,0.012,0.025,39.0,26.0
2017010408,0.0,3.7,0.0,1.3,57.0,4.5,1012.1,0.0,0.0,0.007,0.6,0.002,0.033,34.0,27.0
2017010409,0.0272,3.9,0.0,0.4,56.0,4.5,1012.6,0.0,0.2,0.005,0.8,0.004,0.044,53.0,32.0
2017010410,0.1522,5.0,0.0,0.2,55.0,4.8,1013.2,0.4,5.5,0.006,0.6,0.005,0.039,62.0,38.0
2017010411,0.2774999999999999,6.8,0.0,1.0,52.0,5.2,1014.1,0.9,15.2,0.009,0.6,0.015,0.029,62.0,38.0
2017010412,0.4382,8.9,0.0,0.4,46.0,5.2,1014.1,1.0,17.0,0.022,1.7,0.017,0.033,58.0,37.0
2017010413,0.5444,10.2,0.0,1.1,46.0,5.7,1012.9,1.0,19.1,0.025,1.4,0.021,0.016,70.0,48.0
2017010414,0.5554,11.0,0.0,1.1,45.0,5.9,1012.1,1.0,20.0,0.044,2.4,0.02,0.016,77.0,53.0
2017010415,0.3564,11.2,0.0,0.8,46.0,6.1,1011.5,1.0,18.0,0.041,2.2,0.021,0.016,103.0,75.0
2017010416,0.3089,11.7,0.0,0.7,48.0,6.6,1011.0,1.0,19.4,0.024,1.4,0.027,0.016,103.0,76.0
2017010417,0.1385,11.3,0.0,1.7,51.0,6.8,1010.9,1.0,14.0,0.054,3.5,0.012,0.016,101.0,69.0
2017010418,0.0047,10.4,0.0,1.0,52.0,6.5,1011.4,0.8,8.5,0.036,2.5,0.01,0.016,131.0,82.0
2017010419,0.0,9.3,0.0,0.7,56.0,6.5,1011.8,0.0,4.3,0.028,2.5,0.005,0.016,117.0,82.0
2017010420,0.0,8.4,0.0,1.3,61.0,6.7,1012.4,0.0,3.9,0.021,1.0,0.013,0.016,116.0,79.0
2017010421,0.0,8.3,0.0,0.6,64.0,7.0,1012.3,0.0,3.3,0.015,1.0,0.013,0.016,95.0,62.0
2017010422,0.0,7.5,0.0,0.7,67.0,6.9,1012.6,0.0,1.5,0.012,1.3,0.003,0.016,94.0,68.0
2017010423,0.0,6.9,0.0,0.0,69.0,6.8,1012.9,0.0,1.3,0.008,1.3,0.003,0.016,106.0,75.0
2017010424,0.0,5.9,0.0,0.2,72.0,6.7,1013.1,0.0,0.1,0.007,1.1,0.002,0.016,95.0,74.0
2017010501,0.0,5.7,0.0,1.0,75.0,6.9,1013.5,0.0,0.9,0.006,1.0,0.003,0.002,92.0,70.0
2017010502,0.0,6.6,0.0,0.3,71.0,6.9,1013.3,0.0,1.1,0.006,0.8,0.01,0.014,82.0,70.0
2017010503,0.0,5.4,0.0,1.0,76.0,6.8,1013.2,0.0,1.3,0.006,0.7,0.015,0.022,85.0,62.0
2017010504,0.0,6.6,0.0,1.5,58.0,5.7,1013.4,0.0,3.6,0.006,0.6,0.023,0.015,79.0,60.0
2017010505,0.0,6.2,0.0,1.1,57.0,5.4,1013.3,0.0,3.5,0.007,0.5,0.033,0.011,68.0,51.0
2017010506,0.0,6.9,0.0,3.3,55.0,5.5,1013.0,0.0,5.2,0.007,0.4,0.039,0.007,60.0,44.0
2017010507,0.0,7.3,0.0,3.1,53.0,5.4,1013.2,0.0,5.5,0.007,0.4,0.036,0.008,64.0,45.0
2017010508,0.0,7.2,0.0,3.7,54.0,5.5,1013.7,0.0,6.0,0.006,0.4,0.035,0.009,65.0,43.0
2017010509,0.0281999999999999,7.2,0.0,5.6,55.0,5.6,1013.8,0.0,6.2,0.006,0.4,0.035,0.009,66.0,39.0
2017010510,0.1133,7.6,0.0,5.4,56.0,5.8,1014.7,0.0,8.1,0.006,0.4,0.034,0.006,57.0,39.0
2017010511,0.2079,8.2,0.0,5.0,57.0,6.2,1015.3,0.0,9.7,0.006,0.4,0.036,0.002,56.0,38.0
2017010512,0.2443,8.8,0.0,4.8,57.0,6.4,1015.6,0.0,10.9,0.006,0.4,0.04,0.002,47.0,32.0
2017010513,0.3059,9.7,0.0,3.7,55.0,6.6,1015.3,0.0,13.2,0.007,0.4,0.04,0.002,37.0,26.0
2017010514,0.2129,10.4,0.0,3.8,58.0,7.3,1014.6,0.3,14.3,0.005,0.4,0.038,0.003,37.0,21.0
2017010515,0.1591,10.5,0.0,4.0,62.0,7.8,1014.5,0.0,13.2,0.005,0.3,0.037,0.002,32.0,19.0
2017010516,0.0824999999999999,10.3,0.0,4.4,64.0,8.0,1014.5,0.0,11.4,0.005,0.3,0.036,0.002,26.0,16.0
2017010517,0.0206,9.9,0.0,5.3,66.0,8.0,1014.6,0.0,10.3,0.006,0.3,0.033,0.001,25.0,16.0
2017010518,0.0,9.5,0.0,5.3,68.0,8.0,1014.8,0.0,9.1,0.006,0.3,0.031,0.002,27.0,19.0
2017010519,0.0,9.1,0.0,5.5,69.0,8.0,1015.6,0.0,8.4,0.005,0.3,0.027,0.001,33.0,19.0
2017010520,0.0,8.6,0.0,5.9,73.0,8.1,1015.9,0.0,7.9,0.006,0.3,0.024,0.001,29.0,17.0
2017010521,0.0,8.2,0.0,7.6,75.0,8.1,1016.5,0.0,7.8,0.005,0.3,0.026,0.001,20.0,15.0
2017010522,0.0,7.7,0.0,7.0,77.0,8.1,1016.4,0.0,7.3,0.005,0.3,0.03,0.002,16.0,15.0
2017010523,0.0,7.6,0.0,6.6,77.0,8.0,1016.4,0.0,7.0,0.005,0.3,0.032,0.001,14.0,10.0
2017010524,0.0,7.5,0.0,7.0,75.0,7.7,1016.6,0.0,7.0,0.005,0.2,0.032,0.001,14.0,11.0
2017010601,0.0,7.4,0.0,5.7,74.0,7.6,1016.4,0.0,6.7,0.005,0.3,0.033,0.001,16.0,12.0
2017010602,0.0,7.2,0.0,6.9,74.0,7.5,1016.5,0.0,6.6,0.005,0.2,0.032,0.001,18.0,13.0
2017010603,0.0,6.9,0.0,3.7,75.0,7.4,1016.8,0.0,6.2,0.004,0.2,0.032,0.001,22.0,10.0
2017010604,0.0,6.6,0.0,4.3,77.0,7.5,1016.9,0.0,5.7,0.005,0.2,0.032,0.001,18.0,11.0
2017010605,0.0,6.3,0.0,3.7,78.0,7.4,1017.0,0.0,5.6,0.005,0.2,0.032,0.001,16.0,11.0
2017010606,0.0,6.0,0.0,5.0,81.0,7.5,1016.5,0.0,4.6,0.005,0.2,0.032,0.001,15.0,8.0
2017010607,0.0,6.1,0.0,4.4,79.0,7.4,1016.6,0.0,5.5,0.004,0.2,0.031,0.001,19.0,10.0
2017010608,0.0,6.2,0.0,4.6,77.0,7.3,1017.2,0.0,5.6,0.005,0.2,0.03,0.001,19.0,12.0
2017010609,0.0134,6.1,0.0,4.9,75.0,7.0,1017.3,0.0,5.6,0.004,0.2,0.029,0.001,15.0,9.0
2017010610,0.172,6.7,0.0,4.3,71.0,7.0,1017.5,0.0,7.7,0.005,0.2,0.031,0.001,19.0,12.0
2017010611,0.3937,7.8,0.0,3.7,65.0,6.9,1017.7,0.9,13.0,0.006,0.2,0.034,0.001,17.0,9.0
2017010612,0.5727,9.2,0.0,3.6,60.0,7.0,1017.4,1.0,16.4,0.006,0.2,0.034,0.001,23.0,10.0
2017010613,0.6809999999999999,9.8,0.0,3.4,57.0,6.9,1016.2,1.0,16.0,0.006,0.2,0.035,0.001,21.0,11.0
2017010614,0.7134,10.5,0.0,3.3,55.0,7.0,1015.0,1.0,17.9,0.005,0.2,0.038,0.001,16.0,10.0
2017010615,0.6392,11.2,0.0,2.2,54.0,7.2,1014.5,1.0,19.4,0.005,0.2,0.038,0.001,21.0,10.0
2017010616,0.4699,11.0,0.0,2.4,55.0,7.2,1014.5,1.0,16.7,0.01,0.3,0.029,0.001,23.0,12.0
2017010617,0.2002,10.6,0.0,2.5,54.0,6.9,1014.2,1.0,14.1,0.008,0.3,0.03,0.001,25.0,14.0
2017010618,0.0021,9.6,0.0,2.4,57.0,6.8,1014.1,1.0,8.6,0.007,0.3,0.023,0.001,24.0,13.0
2017010619,0.0,8.5,0.0,0.9,63.0,7.0,1014.4,0.1,4.3,0.006,0.4,0.014,0.001,27.0,14.0
2017010620,0.0,7.6,0.0,1.8,64.0,6.7,1014.5,0.0,4.5,0.006,0.3,0.026,0.001,25.0,14.0
2017010621,0.0,7.6,0.0,3.1,66.0,6.9,1014.6,0.0,5.7,0.006,0.3,0.03,0.001,26.0,19.0
2017010622,0.0,7.4,0.0,2.9,67.0,6.9,1014.6,0.0,5.6,0.006,0.3,0.029,0.001,30.0,18.0
2017010623,0.0,6.9,0.0,1.9,68.0,6.7,1014.1,0.0,4.7,0.004,0.3,0.028,0.001,27.0,17.0
2017010624,0.0,6.5,0.0,2.0,68.0,6.6,1014.5,0.0,4.2,0.006,0.3,0.022,0.001,31.0,17.0
2017010701,0.0,6.4,0.0,0.2,69.0,6.6,1014.2,0.0,2.5,0.005,0.4,0.01,0.001,33.0,19.0
2017010702,0.0,5.4,0.0,0.7,72.0,6.4,1013.8,0.0,0.4,0.006,0.3,0.016,0.001,34.0,21.0
2017010703,0.0,5.4,0.0,1.6,72.0,6.4,1013.8,0.0,2.5,0.006,0.3,0.024,0.001,31.0,21.0
2017010704,0.0,5.4,0.0,1.1,73.0,6.5,1013.1,0.0,2.3,0.005,0.3,0.02,0.001,28.0,21.0
2017010705,0.0,4.4,0.0,0.5,78.0,6.5,1013.1,0.0,-0.5,0.005,0.3,0.018,0.001,26.0,23.0
2017010706,0.0,5.6,0.0,2.3,72.0,6.5,1012.6,0.0,3.1,0.005,0.3,0.015,0.001,29.0,20.0
2017010707,0.0,4.4,0.0,0.9,77.0,6.4,1012.8,0.0,0.4,0.005,0.3,0.005,0.001,29.0,20.0
2017010708,0.0,2.5,0.0,0.8,89.0,6.5,1012.5,0.0,-0.3,0.005,0.4,0.003,0.001,31.0,21.0
2017010709,0.0294,2.7,0.0,0.8,90.0,6.7,1012.6,0.0,0.7,0.006,0.4,0.004,0.001,40.0,22.0
2017010710,0.1432,3.5,0.0,0.4,89.0,7.0,1012.9,0.0,5.5,0.006,0.3,0.008,0.001,38.0,25.0
2017010711,0.244,5.2,0.0,0.5,81.0,7.1,1013.1,0.6,10.2,0.006,0.3,0.013,0.001,35.0,23.0
2017010712,0.2835,7.6,0.0,0.6,71.0,7.4,1012.6,0.3,12.2,0.005,0.3,0.019,0.001,35.0,26.0
2017010713,0.2579,8.9,0.0,0.4,65.0,7.4,1011.3,0.0,13.6,0.006,0.3,0.029,0.001,31.0,21.0
2017010714,0.2009999999999999,9.9,0.0,2.2,61.0,7.4,1009.5,0.1,13.5,0.006,0.3,0.025,0.001,28.0,19.0
2017010715,0.2015,9.9,0.0,1.8,62.0,7.5,1008.1,0.1,14.9,0.006,0.3,0.027,0.001,30.0,18.0
2017010716,0.0725,9.9,0.0,2.3,60.0,7.3,1008.1,0.1,11.2,0.006,0.3,0.032,0.001,19.0,19.0
2017010717,0.0265,9.8,0.0,2.9,62.0,7.5,1007.8,0.0,10.3,0.006,0.3,0.031,0.001,25.0,15.0
2017010718,0.0,9.5,0.0,2.8,65.0,7.7,1007.7,0.0,9.1,0.005,0.3,0.031,0.001,20.0,16.0
2017010719,0.0,9.2,0.0,3.3,63.0,7.3,1007.6,0.0,8.6,0.005,0.3,0.029,0.001,27.0,14.0
2017010720,0.0,8.9,0.0,2.6,65.0,7.4,1007.6,0.0,8.1,0.004,0.3,0.029,0.001,30.0,15.0
2017010721,0.0,9.0,0.0,2.3,65.0,7.4,1007.3,0.0,8.1,0.005,0.3,0.03,0.001,32.0,18.0
2017010722,0.0,9.0,0.0,3.2,65.0,7.4,1007.2,0.0,8.1,0.005,0.3,0.032,0.001,23.0,17.0
2017010723,0.0,9.2,0.0,2.6,64.0,7.4,1007.5,0.0,8.2,0.006,0.3,0.033,0.001,23.0,15.0
2017010724,0.0,9.1,0.0,2.5,67.0,7.7,1007.4,0.0,7.4,0.005,0.2,0.031,0.001,23.0,14.0
2017010801,0.0,7.7,0.5,3.6,84.0,8.8,1006.8,0.0,5.7,0.005,0.3,0.028,0.001,17.0,12.0
2017010802,0.0,7.4,0.0,2.9,92.0,9.4,1006.1,0.0,5.7,0.004,0.2,0.029,0.001,17.0,15.0
2017010803,0.0,7.5,0.0,4.7,93.0,9.6,1005.8,0.0,6.0,0.005,0.2,0.032,0.002,12.0,12.0
2017010804,0.0,7.5,3.0,4.2,96.0,9.9,1005.5,0.0,6.1,0.005,0.2,0.033,0.001,10.0,6.0
2017010805,0.0,7.4,0.0,4.3,96.0,9.8,1004.7,0.0,5.9,0.005,0.2,0.033,0.001,8.0,6.0
2017010806,0.0,7.7,0.0,5.7,90.0,9.4,1003.9,0.0,6.7,0.005,0.2,0.033,0.001,11.0,4.0
2017010807,0.0,7.0,1.0,2.6,92.0,9.2,1003.4,0.0,6.3,0.005,0.2,0.033,0.001,12.0,7.0
2017010808,0.0,8.1,0.0,5.6,83.0,8.9,1003.1,0.0,7.3,0.006,0.2,0.032,0.002,14.0,7.0
2017010809,0.0066,8.3,0.0,5.2,81.0,8.8,1003.3,0.0,7.7,0.005,0.3,0.03,0.001,12.0,8.0
2017010810,0.0784,9.0,0.0,4.9,78.0,8.9,1003.5,0.0,8.8,0.005,0.2,0.032,0.001,17.0,7.0
2017010811,0.1567,9.8,0.0,4.5,75.0,9.0,1003.8,0.0,11.9,0.005,0.2,0.033,0.002,15.0,9.0
2017010812,0.2251999999999999,10.5,0.0,4.7,74.0,9.3,1003.7,0.0,13.5,0.005,0.2,0.033,0.001,15.0,8.0
2017010813,0.2595,11.6,0.0,2.0,70.0,9.5,1002.8,0.0,16.5,0.006,0.3,0.035,0.002,20.0,10.0
2017010814,0.4126999999999999,12.1,0.0,1.4,65.0,9.2,1002.1,0.0,18.0,0.005,0.3,0.038,0.002,18.0,9.0
2017010815,0.3801,12.3,0.0,0.8,61.0,8.7,1001.1,0.6,17.3,0.007,0.3,0.032,0.001,19.0,12.0
2017010816,0.3734,13.2,0.0,1.4,62.0,9.3,1000.6,0.8,19.4,0.007,0.3,0.027,0.002,24.0,13.0
2017010817,0.0834999999999999,12.9,0.0,0.9,64.0,9.5,1000.5,0.6,17.9,0.008,0.3,0.024,0.001,23.0,12.0
2017010818,0.0103,12.2,0.0,0.7,66.0,9.3,1000.5,1.0,13.0,0.008,0.3,0.023,0.007,24.0,12.0
2017010819,0.0,10.6,0.0,0.7,73.0,9.3,1000.9,0.2,7.6,0.008,0.4,0.009,0.028,24.0,15.0
2017010820,0.0,10.3,0.0,0.0,74.0,9.2,1001.0,0.0,5.7,0.008,0.4,0.005,0.026,28.0,19.0
2017010821,0.0,9.8,0.0,1.8,76.0,9.2,1001.4,0.0,7.7,0.006,0.3,0.026,0.002,22.0,18.0
2017010822,0.0,10.2,0.0,4.9,65.0,8.1,1001.7,0.0,9.2,0.006,0.3,0.034,0.002,20.0,15.0
2017010823,0.0,9.6,0.0,3.8,68.0,8.1,1001.6,0.0,8.6,0.005,0.3,0.034,0.001,26.0,19.0
2017010824,0.0,9.0,0.0,3.9,70.0,8.0,1001.8,0.0,7.9,0.004,0.3,0.031,0.001,27.0,17.0
2017010901,0.0,8.1,0.0,4.3,75.0,8.1,1001.9,0.0,7.0,0.005,0.3,0.029,0.001,38.0,21.0
2017010902,0.0,7.7,0.0,3.2,79.0,8.2,1001.6,0.0,7.0,0.005,0.3,0.031,0.001,39.0,32.0
2017010903,0.0,7.5,0.0,5.1,77.0,8.0,1002.0,0.0,6.6,0.005,0.3,0.036,0.001,31.0,30.0
2017010904,0.0,7.4,0.0,2.9,80.0,8.2,1002.6,0.0,6.4,0.004,0.3,0.035,0.001,22.0,21.0
2017010905,0.0,6.3,0.0,3.8,91.0,8.7,1002.7,0.0,4.8,0.006,0.4,0.032,0.001,22.0,16.0
2017010906,0.0,6.2,0.0,3.1,91.0,8.6,1002.8,0.0,5.4,0.005,0.4,0.033,0.001,30.0,20.0
2017010907,0.0,6.2,0.1,4.3,74.0,7.0,1003.3,0.0,5.4,0.005,0.4,0.038,0.001,40.0,25.0
2017010908,0.0,5.9,0.0,1.7,71.0,6.6,1003.9,0.0,5.3,0.005,0.4,0.037,0.001,47.0,35.0
2017010909,0.0113,5.6,0.0,5.7,74.0,6.7,1004.6,0.0,5.1,0.006,0.4,0.038,0.001,42.0,40.0
2017010910,0.1829,5.5,0.0,4.8,71.0,6.4,1005.4,0.0,5.4,0.005,0.4,0.038,0.001,39.0,34.0
2017010911,0.362,5.6,0.0,4.0,73.0,6.6,1005.9,0.0,6.6,0.005,0.6,0.038,0.001,49.0,33.0
2017010912,0.4123,5.7,0.0,4.1,76.0,6.9,1006.7,0.0,6.3,0.006,0.6,0.038,0.001,59.0,42.0
2017010913,0.5998,7.7,0.0,3.2,66.0,6.9,1006.1,0.6,15.7,0.006,0.5,0.039,0.001,74.0,49.0
2017010914,0.6531,7.9,0.0,4.0,59.0,6.2,1005.4,1.0,14.8,0.006,0.4,0.041,0.001,61.0,56.0
2017010915,0.6504,9.0,0.0,4.3,52.0,6.0,1004.3,1.0,15.9,0.006,0.3,0.04,0.001,41.0,56.0
2017010916,0.5263,9.5,0.0,3.5,46.0,5.5,1004.4,1.0,14.9,0.006,0.3,0.039,0.001,33.0,25.0
