태양광명,호기,년월일,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
부산복합운동장,1,2013-01-01,0,0,0,0,0,0,0,0.36,19.944,54.144,132.84,197.1,158.508,198.18,147.708,65.196,14.652,0.108,0,0,0,0,0,0
부산복합운동장,1,2013-01-02,0,0,0,0,0,0,0,0.36,20.736,87.084,159.948,247.284,265.644,234.396,160.884,77.148,14.4,0.036,0,0,0,0,0,0
부산복합운동장,1,2013-01-03,0,0,0,0,0,0,0,0.18,21.168,80.748,149.508,213.876,271.584,266.004,177.912,63.288,14.832,0.216,0,0,0,0,0,0
부산복합운동장,1,2013-01-04,0,0,0,0,0,0,0,0.252,20.592,96.552,160.2,259.704,286.02,265.824,185.292,93.78,18.576,0.072,0,0,0,0,0,0
부산복합운동장,1,2013-01-05,0,0,0,0,0,0,0,0.18,22.464,110.628,200.844,277.92,297.612,268.632,130.392,79.488,20.052,0.144,0,0,0,0,0,0
부산복합운동장,1,2013-01-06,0,0,0,0,0,0,0,0.36,21.348,83.376,167.472,219.96,242.46,251.28,173.988,89.064,19.368,0.648,0,0,0,0,0,0
부산복합운동장,1,2013-01-07,0,0,0,0,0,0,0,0.18,26.28,107.676,190.368,261.684,278.316,259.056,183.672,93.924,18.972,0.396,0,0,0,0,0,0
부산복합운동장,1,2013-01-08,0,0,0,0,0,0,0,0.432,21.744,90,168.768,243.108,262.764,245.52,171.504,86.652,19.98,0.432,0,0,0,0,0,0
부산복합운동장,1,2013-01-09,0,0,0,0,0,0,0,0.504,20.412,85.608,159.732,262.404,284.652,259.38,188.064,98.964,22.968,0.288,0,0,0,0,0,0
부산복합운동장,1,2013-01-10,0,0,0,0,0,0,0,0.216,29.052,112.968,189.108,275.436,296.136,275.112,199.8,105.588,24.372,0.324,0,0,0,0,0,0
부산복합운동장,1,2013-01-11,0,0,0,0,0,0,0,0.108,27.9,109.872,194.4,265.716,285.732,266.508,184.86,93.528,21.816,0.504,0,0,0,0,0,0
부산복합운동장,1,2013-01-12,0,0,0,0,0,0,0,0.252,22.86,96.768,173.196,243.54,267.696,246.024,170.892,85.932,21.672,0.684,0,0,0,0,0,0
부산복합운동장,1,2013-01-13,0,0,0,0,0,0,0,0,7.164,36.504,60.768,61.272,35.172,21.384,18.072,8.964,0.936,0,0,0,0,0,0,0
부산복합운동장,1,2013-01-14,0,0,0,0,0,0,0,0.324,22.968,95.796,169.344,219.924,241.308,222.66,150.084,76.212,21.6,0.936,0,0,0,0,0,0
부산복합운동장,1,2013-01-15,0,0,0,0,0,0,0,0.504,25.524,84.06,134.172,175.644,181.332,205.416,135.756,78.444,26.784,1.188,0,0,0,0,0,0
부산복합운동장,1,2013-01-16,0,0,0,0,0,0,0,0.468,21.348,74.592,145.404,212.58,238.356,206.928,138.168,85.86,23.832,0.828,0,0,0,0,0,0
부산복합운동장,1,2013-01-17,0,0,0,0,0,0,0,0.36,24.084,85.068,159.192,98.46,63.432,164.916,138.708,57.204,23.184,1.944,0,0,0,0,0,0
부산복합운동장,1,2013-01-18,0,0,0,0,0,0,0,0.396,27.936,106.704,194.256,269.64,284.472,270.072,200.988,108.504,29.844,0.972,0,0,0,0,0,0
부산복합운동장,1,2013-01-19,0,0,0,0,0,0,0,0.252,28.764,109.296,192.06,263.556,278.784,250.128,165.6,89.532,22.464,1.26,0,0,0,0,0,0
부산복합운동장,1,2013-01-20,0,0,0,0,0,0,0,0.72,16.38,53.676,95.94,115.632,110.628,144.648,128.304,62.784,24.66,1.332,0,0,0,0,0,0
부산복합운동장,1,2013-01-21,0,0,0,0,0,0,0,0,0,3.096,3.384,2.412,6.3,8.136,3.384,0.756,0,0,0,0,0,0,0,0
부산복합운동장,1,2013-01-22,0,0,0,0,0,0,0,0,0.432,8.1,35.424,36.72,68.076,50.904,48.06,29.16,8.424,0.288,0,0,0,0,0,0
부산복합운동장,1,2013-01-23,0,0,0,0,0,0,0,0,0.396,16.74,49.14,91.728,113.976,77.04,59.724,28.404,9.648,0.036,0,0,0,0,0,0
부산복합운동장,1,2013-01-24,0,0,0,0,0,0,0,0.576,25.776,88.452,149.148,138.744,115.632,145.08,82.224,41.94,21.384,1.908,0,0,0,0,0,0
부산복합운동장,1,2013-01-25,0,0,0,0,0,0,0,0.468,31.572,114.156,199.656,273.456,288.684,274.176,205.956,119.448,39.06,1.944,0,0,0,0,0,0
부산복합운동장,1,2013-01-26,0,0,0,0,0,0,0,0.54,35.64,121.032,209.52,288.756,312.66,294.48,219.528,128.16,43.128,1.62,0,0,0,0,0,0
부산복합운동장,1,2013-01-27,0,0,0,0,0,0,0,0.576,35.856,118.368,197.712,281.988,220.356,153.684,206.892,121.356,44.1,2.592,0,0,0,0,0,0
부산복합운동장,1,2013-01-28,0,0,0,0,0,0,0,0.756,37.836,119.016,201.06,278.064,298.764,282.888,204.804,118.044,40.5,2.448,0,0,0,0,0,0
부산복합운동장,1,2013-01-29,0,0,0,0,0,0,0,1.296,30.744,91.728,160.74,222.228,248.76,218.88,149.112,69.012,26.784,2.376,0,0,0,0,0,0
부산복합운동장,1,2013-01-30,0,0,0,0,0,0,0,0.612,23.328,76.212,139.104,203.04,224.172,213.876,159.372,89.64,32.868,3.312,0,0,0,0,0,0
부산복합운동장,1,2013-01-31,0,0,0,0,0,0,0,0.324,16.38,35.46,55.8,117.504,69.948,113.652,132.552,65.16,24.516,2.844,0,0,0,0,0,0
부산복합운동장,1,2013-02-01,0,0,0,0,0,0,0,0,0,0,0,0.252,2.376,2.448,2.592,2.268,0.036,0,0,0,0,0,0,0
부산복합운동장,1,2013-02-02,0,0,0,0,0,0,0,1.152,26.424,84.6,178.272,254.736,281.268,255.492,193.5,112.788,43.164,3.78,0,0,0,0,0,0
부산복합운동장,1,2013-02-03,0,0,0,0,0,0,0,1.836,34.776,98.496,148.428,113.436,69.732,72.612,56.016,22.608,15.912,1.368,0,0,0,0,0,0
부산복합운동장,1,2013-02-04,0,0,0,0,0,0,0,0,0.648,17.964,90.828,147.456,246.204,258.372,194.58,122.364,46.872,4.14,0,0,0,0,0,0
부산복합운동장,1,2013-02-05,0,0,0,0,0,0,0,0.108,8.244,34.74,49.32,51.12,42.336,24.264,16.596,6.156,0.036,0,0,0,0,0,0,0
부산복합운동장,1,2013-02-06,0,0,0,0,0,0,0,0.18,14.112,34.236,129.96,239.472,273.924,266.256,201.42,116.892,46.044,3.924,0,0,0,0,0,0
부산복합운동장,1,2013-02-07,0,0,0,0,0,0,0,0.324,35.496,109.62,184.464,243.108,203.148,221.58,88.128,65.556,23.58,4.284,0,0,0,0,0,0
부산복합운동장,1,2013-02-08,0,0,0,0,0,0,0,1.8,35.748,113.328,198.18,248.832,263.016,275.292,208.584,106.488,46.224,5.184,0,0,0,0,0,0
부산복합운동장,1,2013-02-09,0,0,0,0,0,0,0,2.016,50.472,123.66,198.864,258.192,273.708,253.008,175.32,125.532,42.66,6.3,0,0,0,0,0,0
부산복합운동장,1,2013-02-10,0,0,0,0,0,0,0,2.196,42.588,116.46,190.116,266.508,283.968,261.324,190.512,111.096,46.692,7.02,0,0,0,0,0,0
부산복합운동장,1,2013-02-11,0,0,0,0,0,0,0,3.024,33.876,118.44,197.316,271.044,290.844,269.568,202.14,122.364,54.468,7.56,0,0,0,0,0,0
부산복합운동장,1,2013-02-12,0,0,0,0,0,0,0,1.944,12.42,26.928,18.36,43.776,24.624,41.94,50.4,19.548,0.144,0.36,0,0,0,0,0,0
부산복합운동장,1,2013-02-13,0,0,0,0,0,0,0,3.024,51.3,129.528,204.264,275.652,296.316,277.488,216.684,134.172,59.616,7.704,0,0,0,0,0,0
부산복합운동장,1,2013-02-14,0,0,0,0,0,0,0,3.348,35.028,108.18,180.216,236.952,172.332,166.824,157.968,87.696,35.028,4.968,0,0,0,0,0,0
부산복합운동장,1,2013-02-15,0,0,0,0,0,0,0,3.6,44.64,110.448,169.632,231.48,270.828,251.208,195.84,128.124,59.544,9.216,0,0,0,0,0,0
부산복합운동장,1,2013-02-16,0,0,0,0,0,0,0,3.456,62.136,139.86,215.64,289.692,312.732,299.52,227.304,138.312,63.072,8.892,0,0,0,0,0,0
부산복합운동장,1,2013-02-17,0,0,0,0,0,0,0,1.944,17.208,41.616,42.876,73.512,52.74,25.884,15.588,5.004,3.672,0.504,0,0,0,0,0,0
부산복합운동장,1,2013-02-18,0,0,0,0,0,0,0,0,0.072,1.476,4.608,8.928,9.9,16.488,20.7,29.916,25.776,2.412,0,0,0,0,0,0
부산복합운동장,1,2013-02-19,0,0,0,0,0,0,0,0.432,9.36,28.152,60.336,77.904,86.652,93.996,70.74,39.204,43.308,11.16,0,0,0,0,0,0
부산복합운동장,1,2013-02-20,0,0,0,0,0,0,0,4.788,64.944,138.744,214.2,293.148,317.952,301.968,229.14,142.632,67.284,11.232,0,0,0,0,0,0
부산복합운동장,1,2013-02-21,0,0,0,0,0,0,0,5.796,46.44,109.98,179.064,251.46,294.48,289.26,215.928,132.3,59.868,10.44,0,0,0,0,0,0
부산복합운동장,1,2013-02-22,0,0,0,0,0,0,0,4.32,38.664,95.868,170.352,240.084,263.736,244.98,174.852,103.104,38.34,10.332,0,0,0,0,0,0
부산복합운동장,1,2013-02-23,0,0,0,0,0,0,0,6.948,65.808,134.1,212.436,296.676,320.004,304.992,234.972,144.72,68.832,11.772,0,0,0,0,0,0
부산복합운동장,1,2013-02-24,0,0,0,0,0,0,0,6.768,64.404,133.344,205.56,279.684,297.972,268.416,204.588,96.732,56.34,10.728,0,0,0,0,0,0
부산복합운동장,1,2013-02-25,0,0,0,0,0,0,0,6.516,56.628,118.764,185.076,246.78,261.684,254.268,181.332,111.312,57.24,16.812,0,0,0,0,0,0
부산복합운동장,1,2013-02-26,0,0,0,0,0,0,0,0.504,6.624,22.068,30.024,55.584,27.9,16.596,10.26,13.248,7.524,0.54,0,0,0,0,0,0
부산복합운동장,1,2013-02-27,0,0,0,0,0,0,0,8.028,56.556,125.1,199.62,272.268,287.244,270.612,208.224,122.256,60.048,13.86,0.072,0,0,0,0,0
부산복합운동장,1,2013-02-28,0,0,0,0,0,0,0,8.064,57.276,117.108,181.944,247.032,274.716,257.904,198.432,123.588,57.888,13.212,0,0,0,0,0,0
부산복합운동장,1,2013-03-01,0,0,0,0,0,0,0,0,0.648,5.76,29.88,112.608,84.816,132.588,146.304,88.884,40.644,16.884,0.036,0,0,0,0,0
부산복합운동장,1,2013-03-02,0,0,0,0,0,0,0,10.008,65.124,135.216,211.86,280.764,302.868,285.408,210.348,125.856,60.912,15.228,0.072,0,0,0,0,0
부산복합운동장,1,2013-03-03,0,0,0,0,0,0,0,9.648,59.364,128.808,207.504,284.04,307.404,289.548,217.332,140.076,68.688,13.932,0.036,0,0,0,0,0
부산복합운동장,1,2013-03-04,0,0,0,0,0,0,0,9.504,57.816,117.756,187.02,246.6,274.14,260.748,181.728,110.376,50.148,15.408,0.036,0,0,0,0,0
부산복합운동장,1,2013-03-05,0,0,0,0,0,0,0,9.468,68.004,137.628,206.028,278.964,304.236,286.056,219.276,140.508,67.608,13.968,0.072,0,0,0,0,0
부산복합운동장,1,2013-03-06,0,0,0,0,0,0,0,9.684,52.344,112.68,181.656,241.848,253.692,241.992,181.512,115.56,57.42,14.688,0.144,0,0,0,0,0
부산복합운동장,1,2013-03-07,0,0,0,0,0,0,0,11.196,48.672,77.832,71.316,64.188,6.768,5.292,52.524,97.2,40.68,13.968,0.108,0,0,0,0,0
부산복합운동장,1,2013-03-08,0,0,0,0,0,0,0,10.296,37.764,62.46,105.552,196.344,231.66,221.436,164.556,99.216,46.26,13.248,0.108,0,0,0,0,0
부산복합운동장,1,2013-03-09,0,0,0,0,0,0,0,10.62,58.896,118.98,184.176,240.264,248.112,202.212,157.788,99.756,49.464,13.824,0.18,0,0,0,0,0
부산복합운동장,1,2013-03-10,0,0,0,0,0,0,0,0.36,14.256,68.508,153.792,259.956,290.232,275.904,200.448,123.84,65.52,17.424,0.396,0,0,0,0,0
부산복합운동장,1,2013-03-11,0,0,0,0,0,0,0.036,12.888,64.836,124.38,196.452,219.06,153.288,184.644,189.648,119.016,65.988,15.984,0.36,0,0,0,0,0
부산복합운동장,1,2013-03-12,0,0,0,0,0,0,0.036,13.284,62.1,124.308,187.236,255.924,278.208,262.764,187.092,107.712,52.272,13.032,0,0,0,0,0,0
부산복합운동장,1,2013-03-13,0,0,0,0,0,0,0,0,4.5,20.304,4.572,0,0.324,10.296,14.868,11.988,4.788,6.696,0.072,0,0,0,0,0
부산복합운동장,1,2013-03-14,0,0,0,0,0,0,0.108,14.472,41.976,120.744,129.024,178.56,128.844,108.396,94.68,79.668,39.564,12.6,0.612,0,0,0,0,0
부산복합운동장,1,2013-03-15,0,0,0,0,0,0,0.18,14.76,65.736,130.68,208.044,276.876,296.1,283.86,213.984,136.836,66.024,14.832,0.36,0,0,0,0,0
부산복합운동장,1,2013-03-16,0,0,0,0,0,0,0.108,13.644,37.116,58.248,159.372,236.232,270.468,246.384,175.644,121.644,62.064,17.856,0.432,0,0,0,0,0
부산복합운동장,1,2013-03-17,0,0,0,0,0,0,0.216,17.892,47.592,99.18,157.14,235.656,188.46,97.704,55.872,47.016,39.816,9.072,0,0,0,0,0,0
부산복합운동장,1,2013-03-18,0,0,0,0,0,0,0,3.204,7.992,32.328,62.712,83.988,178.452,277.488,216.648,135.036,54.9,16.128,0.576,0,0,0,0,0
부산복합운동장,1,2013-03-19,0,0,0,0,0,0,0.18,14.256,52.416,103.356,158.94,206.856,241.272,224.676,161.244,91.44,42.948,16.236,0.288,0,0,0,0,0
부산복합운동장,1,2013-03-20,0,0,0,0,0,0,0,2.124,19.944,89.028,186.768,235.872,131.58,152.1,30.888,18.288,43.884,17.532,0.792,0,0,0,0,0
부산복합운동장,1,2013-03-21,0,0,0,0,0,0,0.468,18.972,79.74,146.988,218.52,278.748,305.82,294.12,221.076,140.328,69.48,17.64,0.792,0,0,0,0,0
부산복합운동장,1,2013-03-22,0,0,0,0,0,0,0.828,18.648,67.788,121.212,175.284,89.928,63.072,50.004,23.364,51.264,52.812,18.144,1.152,0,0,0,0,0
부산복합운동장,1,2013-03-23,0,0,0,0,0,0,0.396,19.728,66.024,129.708,195.84,268.632,284.184,250.92,177.552,112.644,70.308,24.444,0.684,0,0,0,0,0
부산복합운동장,1,2013-03-24,0,0,0,0,0,0,0.648,19.188,67.572,126.252,191.952,238.896,174.708,138.024,101.7,76.14,42.408,14.328,1.44,0,0,0,0,0
부산복합운동장,1,2013-03-25,0,0,0,0,0,0,0.036,17.676,55.404,73.44,181.332,293.796,309.672,288.684,212.976,139.176,69.624,21.78,0.288,0,0,0,0,0
부산복합운동장,1,2013-03-26,0,0,0,0,0,0,1.08,20.124,74.412,122.652,180.324,255.744,236.484,245.232,194.616,120.6,63.9,19.728,1.872,0,0,0,0,0
부산복합운동장,1,2013-03-27,0,0,0,0,0,0,0.324,13.14,57.744,128.088,196.38,263.196,285.408,271.512,200.988,126.432,60.732,17.82,1.26,0,0,0,0,0
부산복합운동장,1,2013-03-28,0,0,0,0,0,0,1.224,20.052,73.548,138.636,204.696,264.456,282.132,265.572,190.8,111.672,51.12,20.484,1.728,0,0,0,0,0
부산복합운동장,1,2013-03-29,0,0,0,0,0,0,1.44,22.752,53.352,110.556,199.656,272.52,282.024,261.612,197.28,130.716,56.34,21.96,2.304,0,0,0,0,0
부산복합운동장,1,2013-03-30,0,0,0,0,0,0,1.8,21.96,68.004,127.296,187.524,234.216,214.92,206.568,144.468,92.592,49.392,18.144,0.684,0,0,0,0,0
부산복합운동장,1,2013-03-31,0,0,0,0,0,0,0.432,10.404,73.08,119.16,166.536,197.352,98.64,73.368,111.348,113.688,62.82,23.796,2.232,0,0,0,0,0
부산복합운동장,1,2013-04-01,0,0,0,0,0,0,2.052,22.716,70.56,130.752,162.432,214.236,260.568,240.912,137.736,109.296,60.912,26.1,3.6,0,0,0,0,0
부산복합운동장,1,2013-04-02,0,0,0,0,0,0,1.44,23.724,41.688,25.308,50.904,229.392,231.804,237.096,190.656,105.804,48.24,20.16,2.844,0,0,0,0,0
부산복합운동장,1,2013-04-03,0,0,0,0,0,0,1.836,22.716,80.028,145.008,220.356,282.168,292.572,275.94,206.316,132.156,64.44,18.288,2.052,0,0,0,0,0
부산복합운동장,1,2013-04-04,0,0,0,0,0,0,3.492,20.34,53.712,103.86,159.768,225.252,239.256,185.724,110.988,79.668,68.184,18.504,2.052,0,0,0,0,0
부산복합운동장,1,2013-04-05,0,0,0,0,0,0,1.764,24.696,72.936,127.332,194.328,225.864,201.708,169.236,110.628,58.248,30.204,15.516,0.9,0,0,0,0,0
부산복합운동장,1,2013-04-06,0,0,0,0,0,0,0,0,2.808,13.356,27.036,26.424,28.008,28.008,49.86,28.764,5.292,1.188,0,0,0,0,0,0
부산복합운동장,1,2013-04-07,0,0,0,0,0,0,0.252,13.14,39.816,84.348,116.856,237.996,251.208,239.508,195.084,139.248,67.5,18.252,1.692,0,0,0,0,0
부산복합운동장,1,2013-04-08,0,0,0,0,0,0,3.024,27.036,85.14,150.048,217.98,280.548,291.924,251.82,144.324,103.428,65.304,26.676,3.168,0,0,0,0,0
부산복합운동장,1,2013-04-09,0,0,0,0,0,0,3.852,28.404,75.384,137.952,214.704,280.008,290.196,268.92,199.8,128.664,63.684,21.24,2.664,0,0,0,0,0
부산복합운동장,1,2013-04-10,0,0,0,0,0,0,2.196,28.692,87.732,154.656,221.04,215.496,256.536,123.156,110.16,69.984,58.356,20.088,2.34,0,0,0,0,0
부산복합운동장,1,2013-04-11,0,0,0,0,0,0,5.076,30.312,81.828,144.504,218.628,289.476,304.164,267.84,185.112,115.344,46.224,18.864,2.124,0,0,0,0,0
부산복합운동장,1,2013-04-12,0,0,0,0,0,0,2.556,25.632,87.156,156.132,230.544,294.3,303.3,274.356,202.788,129.636,61.596,17.388,2.052,0,0,0,0,0
부산복합운동장,1,2013-04-13,0,0,0,0,0,0,3.6,26.712,80.46,141.084,209.448,272.232,284.796,262.692,193.14,123.732,60.48,20.232,2.808,0,0,0,0,0
부산복합운동장,1,2013-04-14,0,0,0,0,0,0,5.472,28.224,71.964,127.188,188.856,238.5,143.82,5.256,57.924,65.232,44.172,20.16,2.412,0,0,0,0,0
부산복합운동장,1,2013-04-15,0,0,0,0,0,0,6.3,28.908,81.792,119.988,198.36,248.94,265.896,240.084,158.328,100.872,56.52,23.364,3.312,0,0,0,0,0
부산복합운동장,1,2013-04-16,0,0,0,0,0,0,7.236,28.62,71.82,98.064,169.056,191.808,216.396,207,174.672,112.14,42.12,21.816,3.888,0,0,0,0,0
부산복합운동장,1,2013-04-17,0,0,0,0,0,0,2.844,19.008,28.404,46.296,75.744,79.416,84.024,88.272,99.612,50.724,27.036,11.88,1.332,0,0,0,0,0
부산복합운동장,1,2013-04-18,0,0,0,0,0,0,3.672,15.912,32.616,66.06,166.14,226.296,241.632,212.364,161.604,104.652,56.376,24.408,4.104,0,0,0,0,0
부산복합운동장,1,2013-04-19,0,0,0,0,0,0,6.408,28.44,60.696,72.144,130.248,124.272,179.928,226.836,176.868,119.592,64.296,27.108,4.644,0,0,0,0,0
부산복합운동장,1,2013-04-20,0,0,0,0,0,0,0,6.228,11.232,10.296,15.48,28.872,27.108,40.752,32.58,66.744,25.956,5.508,0,0,0,0,0,0
부산복합운동장,1,2013-04-21,0,0,0,0,0,0,6.012,33.48,89.316,152.784,224.28,277.308,286.668,267.192,195.552,123.156,63.144,23.724,4.392,0,0,0,0,0
부산복합운동장,1,2013-04-22,0,0,0,0,0,0,5.004,30.24,86.976,152.424,220.86,277.704,279.396,259.056,195.084,122.184,61.2,26.064,4.392,0,0,0,0,0
부산복합운동장,1,2013-04-23,0,0,0,0,0,0,2.484,5.328,8.424,7.884,13.644,35.712,26.532,31.824,16.704,11.16,1.08,0,0,0,0,0,0,0
부산복합운동장,1,2013-04-24,0,0,0,0,0,0,0,7.596,31.824,112.068,182.52,269.136,281.664,262.8,190.764,124.704,62.172,21.24,3.888,0,0,0,0,0
부산복합운동장,1,2013-04-25,0,0,0,0,0,0,4.572,29.916,86.328,146.844,214.416,267.552,281.484,257.832,181.656,109.944,55.08,4.104,3.636,0,0,0,0,0
부산복합운동장,1,2013-04-26,0,0,0,0,0,0,6.228,31.68,86.724,147.348,216.144,259.416,233.856,168.84,90.936,79.344,46.008,20.592,3.636,0,0,0,0,0
부산복합운동장,1,2013-04-27,0,0,0,0,0,0,6.336,30.132,84.276,137.556,160.272,216.792,263.016,239.796,105.372,31.392,16.704,11.628,1.152,0,0,0,0,0
부산복합운동장,1,2013-04-28,0,0,0,0,0,0.036,8.892,35.28,79.848,134.82,187.38,237.348,249.588,232.956,168.552,103.788,56.952,23.292,4.14,0,0,0,0,0
부산복합운동장,1,2013-04-29,0,0,0,0,0,0,0.684,8.352,37.98,85.464,75.06,39.348,58.32,7.776,5.904,10.044,4.788,0,0.072,0,0,0,0,0
부산복합운동장,1,2013-04-30,0,0,0,0,0,0,11.736,29.772,36.756,62.892,122.94,152.928,177.012,184.248,141.768,114.732,57.528,16.776,10.836,0,0,0,0,0
부산복합운동장,1,2013-05-01,0,0,0,0,0,0,7.308,34.488,56.952,82.548,31.464,65.988,124.38,158.112,101.232,90.108,60.12,17.568,3.24,0,0,0,0,0
부산복합운동장,1,2013-05-02,0,0,0,0,0,0,3.42,35.604,67.392,131.364,181.728,255.888,288.324,249.588,179.532,92.16,44.388,24.876,8.28,0,0,0,0,0
부산복합운동장,1,2013-05-03,0,0,0,0,0,0.108,9.504,32.688,82.512,140.832,196.56,259.092,268.668,244.224,167.544,104.508,54.072,26.208,7.164,0,0,0,0,0
부산복합운동장,1,2013-05-04,0,0,0,0,0,0,7.956,33.876,84.24,141.516,206.208,263.376,277.776,250.416,184.968,116.1,59.436,21.348,4.896,0,0,0,0,0
부산복합운동장,1,2013-05-05,0,0,0,0,0,0.108,8.1,29.988,81.54,141.084,208.62,265.752,268.488,247.896,184.104,115.164,56.448,19.764,4.752,0,0,0,0,0
부산복합운동장,1,2013-05-06,0,0,0,0,0,0.11,7.63,30.78,81.86,142.99,206.03,250.81,259.7,237.13,174.64,110.48,54.65,21.42,5.15,0,0,0,0,0
부산복합운동장,1,2013-05-07,0,0,0,0,0,0.144,12.384,34.848,76.248,133.884,195.372,251.712,265.212,241.2,177.444,115.092,59.256,22.14,5.256,0,0,0,0,0
부산복합운동장,1,2013-05-08,0,0,0,0,0,0.216,8.676,31.5,82.584,140.184,206.82,261.504,270.576,247.716,180.936,104.148,63.18,20.268,5.616,0,0,0,0,0
부산복합운동장,1,2013-05-09,0,0,0,0,0,0.396,17.604,38.664,69.408,111.168,142.992,167.184,140.544,156.312,92.052,73.98,34.596,15.696,3.528,0,0,0,0,0
부산복합운동장,1,2013-05-10,0,0,0,0,0,0,0.144,1.62,6.408,23.292,40.536,117.18,202.284,193.176,174.672,76.788,38.556,18.036,3.744,0,0,0,0,0
부산복합운동장,1,2013-05-11,0,0,0,0,0,0,12.96,35.892,82.62,142.38,211.752,264.744,268.056,247.824,181.188,114.732,58.104,18.792,4.716,0,0,0,0,0
부산복합운동장,1,2013-05-12,0,0,0,0,0,0.324,9.432,31.284,79.344,136.08,199.872,246.78,256.86,233.964,172.98,109.152,56.52,23.616,6.336,0,0,0,0,0
부산복합운동장,1,2013-05-13,0,0,0,0,0,0.36,10.944,32.436,79.488,137.448,201.6,251.964,264.492,244.692,178.272,114.336,57.96,20.52,5.616,0,0,0,0,0
부산복합운동장,1,2013-05-14,0,0,0,0,0,0.396,10.188,31.104,79.452,136.332,191.916,236.088,263.376,239.976,172.836,114.336,57.132,18.756,5.544,0.036,0,0,0,0
부산복합운동장,1,2013-05-15,0,0,0,0,0,1.08,17.244,37.224,74.664,136.548,183.492,217.08,178.92,215.172,144.576,91.584,60.624,25.632,10.044,0,0,0,0,0
부산복합운동장,1,2013-05-16,0,0,0,0,0,0.468,15.768,47.592,70.236,142.56,139.68,93.636,111.276,97.38,77.868,86.22,54.396,24.948,6.804,0,0,0,0,0
부산복합운동장,1,2013-05-17,0,0,0,0,0,0.576,12.96,38.7,75.132,151.776,211.248,269.82,267.084,261.936,150.732,100.656,59.22,30.708,15.948,0.072,0,0,0,0
부산복합운동장,1,2013-05-18,0,0,0,0,0,0.468,14.292,35.028,78.66,141.372,140.4,202.608,133.056,177.732,97.74,59.364,43.92,29.16,7.776,0,0,0,0,0
부산복합운동장,1,2013-05-19,0,0,0,0,0,0,0.18,2.412,2.628,5.94,35.316,75.888,111.42,70.884,20.556,53.136,38.124,16.704,1.98,0,0,0,0,0
부산복합운동장,1,2013-05-20,0,0,0,0,0,0,2.592,18.9,42.264,68.004,77.328,200.304,183.96,188.136,154.908,103.5,54.648,25.596,9.54,0.18,0,0,0,0
부산복합운동장,1,2013-05-21,0,0,0,0,0,0.288,7.056,28.872,82.116,145.44,210.168,267.516,278.532,257.832,188.604,118.08,58.572,18.576,5.364,0,0,0,0,0
부산복합운동장,1,2013-05-22,0,0,0,0,0,0.756,11.628,33.012,78.624,128.88,186.048,238.464,250.632,222.696,164.52,104.184,55.944,26.928,8.136,0,0,0,0,0
부산복합운동장,1,2013-05-23,0,0,0,0,0,0.756,12.78,33.732,74.052,128.448,186.624,239.58,253.152,234.864,174.132,109.008,59.256,26.136,8.208,0.036,0,0,0,0
부산복합운동장,1,2013-05-24,0,0,0,0,0,0.828,12.168,33.012,77.832,134.604,193.68,230.76,241.488,239.976,173.484,110.088,59.904,25.848,8.28,0.036,0,0,0,0
부산복합운동장,1,2013-05-25,0,0,0,0,0,1.44,14.832,38.988,70.128,114.516,168.372,193.788,219.276,221.004,161.64,110.664,59.184,24.264,8.136,0.036,0,0,0,0
부산복합운동장,1,2013-05-26,0,0,0,0,0,0.252,10.404,41.904,80.82,118.836,162.972,186.156,214.992,205.416,142.416,85.644,56.592,26.82,9.36,0,0,0,0,0
부산복합운동장,1,2013-05-27,0,0,0,0,0,0.144,10.152,28.656,41.256,69.048,76.68,76.464,47.196,31.896,19.152,15.336,11.664,4.572,0.036,0,0,0,0,0
부산복합운동장,1,2013-05-28,0,0,0,0,0,0,0,0.864,0.72,2.052,2.088,6.624,8.892,9.144,10.224,38.448,46.8,23.544,11.808,0,0,0,0,0
부산복합운동장,1,2013-05-29,0,0,0,0,0,0,7.308,22.176,25.92,30.78,59.004,89.964,149.148,119.268,161.136,91.584,60.192,29.952,12.24,0.108,0,0,0,0
부산복합운동장,1,2013-05-30,0,0,0,0,0,0.504,7.596,30.78,62.856,80.316,85.536,148.608,158.94,178.704,149.148,92.664,59.832,26.748,10.152,0.144,0,0,0,0
부산복합운동장,1,2013-05-31,0,0,0,0,0,1.872,18.432,43.128,67.752,89.892,89.208,73.944,72.792,75.384,72.9,75.672,46.476,23.76,9.972,0.252,0,0,0,0
부산복합운동장,1,2013-06-01,0,0,0,0,0,0,9.36,17.748,36.936,43.02,74.736,71.46,69.66,59.292,48.96,37.548,25.344,10.98,3.564,0,0,0,0,0
부산복합운동장,1,2013-06-02,0,0,0,0,0,1.548,10.692,36.216,80.28,124.308,172.944,198.072,193.5,166.968,151.38,109.908,62.316,25.632,11.232,0.216,0,0,0,0
부산복합운동장,1,2013-06-03,0,0,0,0,0,0.83,10.19,29.77,77.11,134.46,198.5,248.51,257.26,239,179.17,114.23,57.71,20.45,7.13,0.14,0,0,0,0
부산복합운동장,1,2013-06-04,0,0,0,0,0,1.188,17.064,34.668,74.232,128.988,188.352,237.492,247.104,226.836,168.444,107.784,56.448,23.04,8.856,0.216,0,0,0,0
